emp_no,first_name,last_name,title,from_date,to_date
11081,Barry,Boyle,Senior Staff,1994-06-17,9999-01-01
11091,Souichi,Ramsay,Engineer,1999-09-11,9999-01-01
11132,Kristin,Harnett,Senior Engineer,1999-08-30,9999-01-01
11158,Masaki,Hagimont,Senior Engineer,2002-04-20,9999-01-01
11170,Minghong,Cannard,Senior Engineer,1990-06-20,9999-01-01
11174,Akhilish,Milicia,Engineer,1999-06-07,9999-01-01
11180,Mitsuyuki,Bojadziev,Senior Engineer,1992-06-10,9999-01-01
11181,Hausi,Cullers,Engineer,1997-11-03,9999-01-01
11192,Apostol,Bahr,Engineer,1998-04-07,9999-01-01
11201,Jouko,Masaki,Staff,1995-10-31,9999-01-01
11208,Saniya,Valtorta,Technique Leader,1994-11-17,9999-01-01
11211,Yurij,Rissland,Senior Engineer,1985-09-17,9999-01-01
11233,Sanjit,Waschkowski,Senior Engineer,1998-12-14,9999-01-01
11253,Koldo,Pokrovskii,Senior Engineer,2000-05-22,9999-01-01
11322,Nathalie,Pocchiola,Senior Engineer,1999-07-08,9999-01-01
11325,Samphel,Rossi,Engineer,1999-01-10,9999-01-01
11326,Munenori,Plesums,Senior Engineer,1999-02-19,9999-01-01
11340,Aris,Bala,Senior Engineer,1998-09-11,9999-01-01
11376,Valery,Suomi,Senior Staff,1994-03-14,9999-01-01
11380,Kenroku,Pelc,Senior Engineer,2001-04-18,9999-01-01
11385,Shiv,Ullian,Engineer,1999-08-08,9999-01-01
11401,Huan,Merey,Staff,1995-04-15,9999-01-01
11469,Guttorm,Giaccio,Senior Engineer,1999-09-08,9999-01-01
11527,Alagu,Boyle,Staff,1999-01-28,9999-01-01
11531,Radhika,Motley,Technique Leader,1992-11-04,9999-01-01
11573,Pranas,Hutton,Senior Engineer,1995-02-04,9999-01-01
11596,Yannik,Gunderson,Staff,1995-11-23,9999-01-01
11606,Perry,Pepe,Senior Staff,1999-09-27,9999-01-01
11628,Fan,Malinowski,Senior Engineer,1997-10-23,9999-01-01
11644,Sanjit,Zaiane,Assistant Engineer,1995-08-09,9999-01-01
11676,Valeri,Ferriere,Engineer,1998-07-15,9999-01-01
11681,Fumitake,Benzmuller,Senior Engineer,1995-08-28,9999-01-01
11693,Hideo,Coorg,Senior Engineer,1991-08-24,9999-01-01
11713,Danel,Heusch,Senior Engineer,2000-10-03,9999-01-01
11737,Martina,Garnier,Assistant Engineer,1995-07-11,9999-01-01
11746,Koichi,Marrakchi,Senior Staff,1995-11-18,9999-01-01
11779,Shunichi,Thombley,Staff,1996-11-21,9999-01-01
11810,Amabile,Bhattacharjee,Senior Engineer,1992-01-05,9999-01-01
11829,Chaosheng,Pettis,Assistant Engineer,1999-10-11,9999-01-01
11832,Arto,Zlotek,Engineer,1996-02-04,9999-01-01
11836,Ortrud,Bakhtari,Senior Staff,1989-07-28,9999-01-01
11853,Zeljko,Kusakabe,Senior Staff,1996-11-17,9999-01-01
11864,Pradeep,Kriebel,Staff,1995-11-02,9999-01-01
11881,Arra,Staelin,Senior Staff,1995-04-08,9999-01-01
11888,Badri,Azulay,Senior Staff,1999-11-28,9999-01-01
11897,Cordelia,Setlzner,Senior Staff,1997-06-16,9999-01-01
11911,Ashish,Mondadori,Senior Engineer,1995-06-05,9999-01-01
11931,Gunilla,Chiodo,Senior Staff,2000-01-13,9999-01-01
11944,Along,Aumann,Senior Engineer,1994-12-01,9999-01-01
11945,Limsoon,Marakhovsky,Staff,1994-01-21,9999-01-01
11948,Yahiko,Nergos,Senior Engineer,2002-05-10,9999-01-01
12007,Marko,Dehkordi,Senior Engineer,1996-05-17,9999-01-01
12024,Mayumi,Lanzelotte,Staff,1997-11-03,9999-01-01
12028,Ingemar,Walstra,Senior Engineer,1997-09-02,9999-01-01
12043,Masaki,Lubachevsky,Staff,2000-01-05,9999-01-01
12093,Evgueni,Oxenboll,Senior Engineer,1999-01-19,9999-01-01
12102,Aron,Erde,Staff,1994-02-17,9999-01-01
12140,Xudong,Paciorek,Senior Staff,1996-11-15,9999-01-01
12165,Xiaobin,Maquelin,Senior Engineer,1994-08-29,9999-01-01
12186,Guther,Nooteboom,Senior Staff,1998-01-24,9999-01-01
12190,Abdulah,Engberts,Senior Engineer,1997-12-13,9999-01-01
12213,Kwangho,Brizzi,Senior Staff,2000-10-31,9999-01-01
12219,Junsik,Gadepally,Senior Staff,1995-06-13,9999-01-01
12230,Yuriy,Bellone,Engineer,1997-04-13,9999-01-01
12247,Subbu,Penttonen,Technique Leader,1985-04-09,9999-01-01
12249,Eldridge,Sadowski,Senior Engineer,1996-06-20,9999-01-01
12269,Mohammed,Whitcomb,Senior Engineer,2000-07-05,9999-01-01
12282,Tadahiro,Delgrange,Engineer,1999-10-06,9999-01-01
12308,Mototsugu,Cronau,Senior Staff,1991-08-11,9999-01-01
12317,Weiyi,Crabtree,Staff,1996-08-11,9999-01-01
12327,DAIDA,Bruckman,Senior Engineer,1992-10-15,9999-01-01
12328,Atilio,Prampolini,Staff,1997-05-03,9999-01-01
12338,Kagan,Besselaar,Staff,1997-01-10,9999-01-01
12343,Sorina,Slaats,Senior Staff,1997-08-25,9999-01-01
12394,Stevo,Reeken,Engineer,1998-09-26,9999-01-01
12411,Shao,Ibel,Senior Staff,1991-08-17,9999-01-01
12426,Shahaf,Valtorta,Technique Leader,1999-05-17,9999-01-01
12450,Sanjeeva,Perng,Senior Engineer,1999-02-02,9999-01-01
12468,Ioana,Baezner,Staff,1993-12-08,9999-01-01
12502,Danil,VanScheik,Senior Engineer,1989-06-06,9999-01-01
12514,Tomofumi,Melter,Engineer,1999-11-13,9999-01-01
12515,Pranav,Wilharm,Senior Engineer,2000-01-27,9999-01-01
12528,Conor,Cincotta,Senior Staff,1997-09-24,9999-01-01
12541,Shih,Nanard,Senior Staff,1996-08-31,9999-01-01
12571,Abdelaziz,Candan,Engineer,2002-04-23,9999-01-01
12586,Oguz,Tasistro,Senior Engineer,2001-04-30,9999-01-01
12589,Anoosh,Chleq,Senior Engineer,1997-09-08,9999-01-01
12597,Kazuhito,Petereit,Senior Staff,1999-12-13,9999-01-01
12635,Xinyu,Restivo,Senior Engineer,2000-02-03,9999-01-01
12639,Zeljko,Schapire,Senior Engineer,2002-05-21,9999-01-01
12644,Bernt,Jayawardene,Senior Engineer,1994-10-29,9999-01-01
12651,Pragnesh,Bael,Senior Staff,1988-01-27,9999-01-01
12662,Leucio,Alvarado,Engineer,1994-08-27,9999-01-01
12664,Zhonghua,Parveen,Staff,1999-08-04,9999-01-01
12670,Seongbae,Alameldin,Engineer,1999-09-10,9999-01-01
12691,Oddvar,Gils,Senior Engineer,1998-08-25,9999-01-01
12732,Mara,Takanami,Senior Staff,1988-04-06,9999-01-01
12734,Gil,Frijda,Senior Engineer,1986-03-03,9999-01-01
12753,Kazuhito,Syrotiuk,Senior Engineer,1999-08-26,9999-01-01
12773,Jenwei,Lovengreen,Senior Engineer,1994-03-05,9999-01-01
12774,Moon,Asrin,Engineer,1997-08-02,9999-01-01
12795,Masoud,Fordan,Senior Staff,1997-06-23,9999-01-01
12798,Lillian,Beeson,Senior Staff,1996-12-26,9999-01-01
12803,Gad,Boissier,Senior Staff,1990-03-16,9999-01-01
12821,Arco,Gihr,Engineer,1997-05-04,9999-01-01
12840,Zhensheng,Ferretti,Engineer,1994-09-10,9999-01-01
12857,Alagu,Gils,Senior Engineer,1995-07-05,9999-01-01
12865,Katsuyuki,Rothe,Senior Staff,1994-02-14,9999-01-01
12868,Berthier,Nanard,Senior Engineer,1990-01-07,9999-01-01
12869,Jacopo,Swiler,Staff,1999-01-02,9999-01-01
12885,Anwar,Collavizza,Senior Engineer,1990-09-11,9999-01-01
12889,Mayumi,Mukaidono,Engineer,1999-04-28,9999-01-01
12895,Roddy,Serot,Senior Engineer,1993-08-15,9999-01-01
12926,Heekeun,Luby,Senior Staff,1992-12-24,9999-01-01
12962,Paraskevi,Beerel,Senior Staff,2001-10-21,9999-01-01
12982,Sachem,Aamodt,Senior Engineer,2000-01-11,9999-01-01
12986,Khun,Hennebert,Senior Engineer,1990-09-20,9999-01-01
13004,Fan,Beznosov,Senior Engineer,1996-05-17,9999-01-01
13013,Heekeun,Baak,Engineer,2000-01-22,9999-01-01
13048,Kerhong,Massonet,Senior Engineer,1996-11-14,9999-01-01
13052,Aleksandar,Schlenzig,Senior Engineer,1996-07-26,9999-01-01
13054,Samphel,Masamoto,Senior Engineer,2001-12-21,9999-01-01
13103,Srinidhi,Ellozy,Senior Engineer,1988-06-19,9999-01-01
13144,Persi,Nollmann,Senior Staff,1997-06-19,9999-01-01
13156,Akeel,Millington,Senior Engineer,2000-08-18,9999-01-01
13200,Weidon,Pauthner,Senior Engineer,1998-08-07,9999-01-01
13216,Stabislas,Weedman,Staff,1999-05-23,9999-01-01
13227,Goncalo,Pell,Staff,1997-02-03,9999-01-01
13246,Adil,Siepmann,Staff,1999-12-31,9999-01-01
13288,Muneo,Broomell,Senior Staff,1995-04-14,9999-01-01
13291,Georg,Stamatiou,Senior Engineer,1993-10-30,9999-01-01
13303,Koldo,Rissanen,Staff,1997-03-01,9999-01-01
13343,Heon,Usery,Senior Staff,1995-07-30,9999-01-01
13378,Rafols,Zhiwei,Technique Leader,1998-07-17,9999-01-01
13386,Khosrow,Sgarro,Technique Leader,1986-02-23,9999-01-01
13396,Chuanyi,Aumann,Senior Staff,1994-03-29,9999-01-01
13412,Ranga,Erdmenger,Staff,1996-03-21,9999-01-01
13422,Vishwani,Gerlach,Senior Engineer,1995-01-17,9999-01-01
13451,Gretta,Weiland,Senior Staff,1995-08-23,9999-01-01
13475,Kamakshi,Piancastelli,Senior Staff,2000-05-27,9999-01-01
13520,Takahiro,Mahnke,Senior Engineer,2001-11-02,9999-01-01
13522,Jaewon,Vingron,Senior Staff,2002-06-01,9999-01-01
13523,Dines,Karunanithi,Staff,1997-10-24,9999-01-01
13549,Matk,Koprowski,Technique Leader,1997-06-18,9999-01-01
13596,Georg,Marletta,Senior Engineer,2002-07-24,9999-01-01
13624,Zhigen,Yurek,Senior Staff,1996-05-11,9999-01-01
13662,Tianruo,Zucker,Senior Staff,1995-02-06,9999-01-01
13713,Nitsan,Porenta,Senior Staff,2001-06-04,9999-01-01
13721,Sugwoo,Delgrossi,Senior Staff,2001-09-20,9999-01-01
13727,Vitali,Merey,Staff,1999-10-07,9999-01-01
13766,Tremaine,Heemskerk,Senior Staff,1986-08-18,9999-01-01
13786,Takushi,Berendt,Senior Staff,1995-05-19,9999-01-01
13787,Xiaobin,Sinicrope,Senior Engineer,1996-10-29,9999-01-01
13799,Chriss,Backhouse,Technique Leader,1993-07-08,9999-01-01
13800,Nikolaus,Gammage,Technique Leader,1998-03-25,9999-01-01
13841,Christophe,Spinelli,Technique Leader,1992-02-01,9999-01-01
13846,Guiseppe,Welham,Senior Staff,1985-03-20,9999-01-01
13853,Mingsen,Roohalamini,Senior Staff,1991-03-25,9999-01-01
13856,Xiping,Conta,Senior Staff,1995-04-26,9999-01-01
13859,Anoosh,Fujisawa,Senior Engineer,1992-08-22,9999-01-01
13870,Theirry,Kirkerud,Engineer,1997-02-17,9999-01-01
13888,Xuedong,Reghbati,Engineer,2000-03-08,9999-01-01
13894,Ult,Schonegge,Engineer,1995-11-28,9999-01-01
13913,Xinan,Yoshizawa,Technique Leader,1997-12-18,9999-01-01
13919,Brewster,Sinicrope,Engineer,1999-12-04,9999-01-01
13944,Takahito,Maierhofer,Senior Engineer,1996-09-15,9999-01-01
13972,Seongbin,Walston,Technique Leader,1990-06-28,9999-01-01
13990,Deborah,Schapiro,Engineer,1996-06-10,9999-01-01
13999,Florian,Crouzet,Senior Staff,2000-02-25,9999-01-01
14011,Katsuo,Peris,Engineer,1999-12-10,9999-01-01
14012,Yishai,Hanratty,Senior Engineer,1993-04-16,9999-01-01
14015,Manibrata,Picaronny,Senior Engineer,1997-08-15,9999-01-01
14034,Aloys,Seghrouchni,Senior Staff,1991-08-26,9999-01-01
14051,Constantijn,Sullins,Senior Engineer,1995-10-19,9999-01-01
14058,Huai,Kobara,Senior Engineer,2000-10-19,9999-01-01
14066,Gennadi,Marrakchi,Staff,1996-10-29,9999-01-01
14093,Atreye,Ritzmann,Technique Leader,1995-11-21,9999-01-01
14130,Yuuichi,Stroustrup,Staff,1997-02-17,9999-01-01
14172,Vasilis,Nitsch,Senior Staff,2000-06-05,9999-01-01
14191,Jiann,Luby,Senior Engineer,1993-01-15,9999-01-01
14200,Masali,Sankaranarayanan,Senior Staff,1997-11-10,9999-01-01
14220,Tomofumi,Pargas,Senior Engineer,1987-12-02,9999-01-01
14236,Xuedong,Angiulli,Senior Staff,1988-11-07,9999-01-01
14252,Weiyi,Fargier,Staff,1997-07-29,9999-01-01
14257,Kwok,Massonet,Staff,1998-02-04,9999-01-01
14281,Hidekazu,Stavenow,Senior Engineer,1998-03-18,9999-01-01
14322,Shem,Kakkad,Engineer,1999-11-19,9999-01-01
14323,Golgen,Leslie,Staff,1997-08-05,9999-01-01
14331,Susumu,Plessier,Senior Engineer,2000-10-03,9999-01-01
14342,Hairong,Iacovou,Senior Engineer,1995-07-19,9999-01-01
14364,Remzi,Lund,Senior Staff,1993-06-01,9999-01-01
14370,Heon,Perl,Senior Staff,2002-03-01,9999-01-01
14372,Saniya,Srimani,Engineer,1999-12-26,9999-01-01
14388,Arch,Remmers,Senior Staff,1996-01-08,9999-01-01
14411,Hiroyasu,Validov,Technique Leader,1997-09-05,9999-01-01
14478,Munehiro,Boissier,Senior Staff,1992-06-28,9999-01-01
14481,Moti,Lammel,Senior Engineer,1993-08-24,9999-01-01
14486,Indrajit,Birdsall,Senior Engineer,1999-08-12,9999-01-01
14501,Taizo,Kroft,Technique Leader,1991-11-20,9999-01-01
14515,Kazuhisa,Versino,Senior Engineer,1996-02-19,9999-01-01
14524,Nobuyoshi,Trogemann,Staff,1996-01-06,9999-01-01
14560,Elrique,Driscoll,Senior Engineer,1993-05-21,9999-01-01
14600,Jayson,Cairo,Senior Staff,1988-10-24,9999-01-01
14611,Marsja,Coors,Staff,1997-05-10,9999-01-01
14640,Toshimori,Kornatzky,Senior Engineer,1998-05-20,9999-01-01
14659,Sashi,Adachi,Senior Engineer,1990-03-16,9999-01-01
14668,Weicheng,Covnot,Senior Engineer,1997-08-10,9999-01-01
14676,Bikash,Zedlitz,Senior Staff,1996-06-11,9999-01-01
14692,Annemarie,Lamba,Senior Engineer,1996-07-31,9999-01-01
14693,Brewster,Stranks,Senior Staff,1992-05-04,9999-01-01
14746,Uri,Baalen,Senior Engineer,2002-07-28,9999-01-01
14752,Mariusz,Azuma,Senior Engineer,1997-05-15,9999-01-01
14761,Yunming,Rettelbach,Senior Staff,1999-05-21,9999-01-01
14763,Ayakannu,Hedayat,Senior Engineer,1994-06-09,9999-01-01
14780,Marlo,Bruckman,Senior Engineer,1986-09-19,9999-01-01
14791,Magy,Garrabrants,Assistant Engineer,1997-11-16,9999-01-01
14818,Wayne,Falco,Senior Engineer,1997-11-26,9999-01-01
14837,Perry,Cappello,Senior Staff,2000-06-12,9999-01-01
14839,Changho,Cronin,Senior Engineer,1998-04-24,9999-01-01
14853,Taiji,Nergos,Senior Engineer,1993-03-07,9999-01-01
14885,Mansur,Thisen,Technique Leader,1994-03-18,9999-01-01
14888,Temple,Barriga,Senior Staff,1986-12-09,9999-01-01
14908,Kerhong,Flanders,Senior Engineer,1997-09-17,9999-01-01
14911,Xiaobin,Chelton,Senior Engineer,1994-04-06,9999-01-01
14915,Huican,Picco,Engineer,1994-07-03,9999-01-01
14925,Stabislas,Peternell,Engineer,1996-06-15,9999-01-01
14941,Nathan,Lichtner,Senior Engineer,1994-12-22,9999-01-01
14949,Insup,Reinhart,Senior Engineer,1995-10-08,9999-01-01
14973,Fumitaka,Schaad,Staff,1995-12-01,9999-01-01
15004,Muneo,Esteva,Engineer,1997-07-24,9999-01-01
15025,Vincent,Lagarias,Senior Staff,1995-08-02,9999-01-01
15043,Christoph,Ventosa,Senior Staff,1994-03-17,9999-01-01
15069,Manton,Siksek,Technique Leader,1987-08-05,9999-01-01
15075,Radoslaw,Rijsenbrij,Senior Engineer,1992-04-23,9999-01-01
15089,Giri,Coney,Senior Engineer,1995-05-14,9999-01-01
15094,Seongbae,Bottner,Staff,1998-05-28,9999-01-01
15102,Luigi,Axelband,Senior Engineer,2000-11-04,9999-01-01
15134,Arun,Luiz,Senior Staff,1998-07-23,9999-01-01
15136,Eckart,Waeselynck,Staff,1996-11-16,9999-01-01
15216,Zhenhua,Wiegley,Senior Staff,1997-06-24,9999-01-01
15248,Edwin,Baar,Senior Staff,1997-03-22,9999-01-01
15263,Sanjeeva,Loncour,Senior Staff,1999-01-09,9999-01-01
15365,Mikhail,Schiettecatte,Senior Engineer,1995-08-11,9999-01-01
15369,Premal,Penttonen,Staff,1999-08-20,9999-01-01
15374,Jiang,Hiroyama,Senior Staff,1996-01-06,9999-01-01
15382,Alassane,Siegrist,Senior Staff,1992-12-26,9999-01-01
15395,Monique,Jakobus,Senior Staff,1995-05-22,9999-01-01
15406,Sariel,Sooriamurthi,Senior Engineer,1996-08-04,9999-01-01
15422,Vesna,Wolniewicz,Senior Engineer,1994-01-08,9999-01-01
15470,Weiwu,Huhdanpaa,Engineer,1996-08-08,9999-01-01
15489,Ayonca,Maksimenko,Staff,1997-07-06,9999-01-01
15525,Masadi,Cherinka,Senior Engineer,2001-04-27,9999-01-01
15563,Constantino,Zykh,Senior Staff,1994-04-08,9999-01-01
15582,Tuval,Alpay,Engineer,1998-11-24,9999-01-01
15603,Woody,Hooghiemstra,Senior Engineer,2000-06-03,9999-01-01
15637,Vincent,Barinka,Senior Staff,1998-07-09,9999-01-01
15638,Basil,Perez,Senior Staff,2001-09-04,9999-01-01
15650,Pascal,Bail,Senior Engineer,1997-11-16,9999-01-01
15656,Mohammad,Schaaf,Senior Staff,1996-05-25,9999-01-01
15662,Shooichi,Danner,Staff,1999-09-04,9999-01-01
15664,Bangqing,Ertl,Assistant Engineer,1997-10-11,9999-01-01
15668,Zito,Juneja,Senior Engineer,1998-02-18,9999-01-01
15714,Troy,Bala,Engineer,2001-03-08,9999-01-01
15717,Yuchang,Rabehasaina,Senior Staff,2000-12-10,9999-01-01
15733,Amalendu,Lipner,Senior Staff,1998-03-03,9999-01-01
15744,Udaiprakash,Solovay,Senior Engineer,1998-01-19,9999-01-01
15750,Arumugam,Bresenham,Senior Engineer,2000-11-13,9999-01-01
15763,Barun,Narahari,Senior Staff,1998-08-03,9999-01-01
15778,Arra,Haumacher,Senior Staff,1998-09-27,9999-01-01
15788,Taegyun,Deyuan,Senior Engineer,1998-03-13,9999-01-01
15799,Manton,Gelosh,Senior Staff,1995-05-08,9999-01-01
15812,Luise,Braunmuhl,Senior Staff,2000-05-11,9999-01-01
15847,Shawna,Gniady,Staff,1995-09-10,9999-01-01
15855,Xiaoqiu,Brookman,Senior Staff,1998-07-28,9999-01-01
15861,Gio,Anido,Senior Staff,1995-12-20,9999-01-01
15866,Angel,Seiwald,Senior Engineer,1991-10-03,9999-01-01
15876,Munehiro,Vakili,Senior Engineer,1999-08-03,9999-01-01
15905,DeForest,Petersohn,Senior Engineer,1993-02-11,9999-01-01
15911,Shaibal,Viele,Senior Engineer,1998-01-13,9999-01-01
15918,Kotesh,Plesums,Senior Staff,1991-05-18,9999-01-01
15938,Garnik,Covnot,Senior Staff,1997-10-16,9999-01-01
15941,Dekang,Nourani,Senior Engineer,1996-04-27,9999-01-01
15945,Hauke,Larfeldt,Senior Engineer,2000-11-16,9999-01-01
15993,Yoshimitsu,Peir,Senior Engineer,1988-11-19,9999-01-01
16000,Marek,Demos,Senior Engineer,2002-05-05,9999-01-01
16005,Udo,Sundgren,Senior Staff,1995-12-19,9999-01-01
16025,Doowon,Luce,Senior Engineer,1994-03-05,9999-01-01
16028,JiYoung,Takkinen,Senior Engineer,1995-08-13,9999-01-01
16052,Maria,Rodham,Senior Engineer,1997-01-26,9999-01-01
16066,Marsha,Penn,Senior Staff,1993-09-16,9999-01-01
16068,Leandro,Zongker,Senior Staff,1992-12-17,9999-01-01
16077,Kannan,Heemskerk,Senior Engineer,2001-07-02,9999-01-01
16093,Luise,Tramer,Engineer,1999-06-15,9999-01-01
16109,Mooi,Serna,Senior Engineer,2001-08-29,9999-01-01
16134,Annemarie,Chaudhuri,Senior Engineer,1998-03-12,9999-01-01
16138,Leucio,Krzyzanowski,Senior Staff,1994-05-05,9999-01-01
16149,Ennio,Luit,Senior Staff,1996-12-26,9999-01-01
16165,Shuzo,Cronau,Assistant Engineer,1998-07-31,9999-01-01
16175,Amabile,Baik,Staff,2000-01-26,9999-01-01
16201,Krassimir,Olano,Technique Leader,1987-08-13,9999-01-01
16215,Duri,Eiron,Senior Staff,1994-02-05,9999-01-01
16224,Honesty,Slobodova,Staff,1996-08-04,9999-01-01
16238,Takahiro,Kopetz,Staff,1995-09-01,9999-01-01
16257,Zhenhua,Masaki,Senior Staff,2002-01-09,9999-01-01
16266,Mikhail,Sethi,Senior Staff,1985-10-25,9999-01-01
16329,Yucel,Melter,Senior Engineer,1994-04-15,9999-01-01
16377,Duri,Stanger,Engineer,1993-11-30,9999-01-01
16383,Lidong,Czap,Senior Engineer,1994-09-24,9999-01-01
16384,Dmitry,Heuser,Senior Engineer,1996-12-27,9999-01-01
16388,Subhankar,Georgatos,Senior Staff,1996-01-30,9999-01-01
16447,Zhiguo,Savasere,Senior Engineer,1999-04-19,9999-01-01
16484,Remko,Redmiles,Senior Staff,1998-04-07,9999-01-01
16491,Emdad,Radwan,Senior Staff,2001-10-03,9999-01-01
16499,Aran,Legleitner,Engineer,1997-08-06,9999-01-01
16526,Saeko,Coorg,Engineer,1997-10-25,9999-01-01
16537,Weidon,Seiwald,Senior Engineer,1991-08-03,9999-01-01
16551,Sadegh,Ranon,Senior Engineer,1986-08-21,9999-01-01
16580,Masaru,Valiente,Senior Engineer,1986-06-20,9999-01-01
16636,Ulf,Luan,Engineer,1997-03-14,9999-01-01
16644,Saniya,Yoshimura,Senior Engineer,1997-12-12,9999-01-01
16658,Florian,Soicher,Senior Staff,1993-01-18,9999-01-01
16678,Gill,Lenart,Senior Engineer,1998-06-02,9999-01-01
16692,Maria,Perelgut,Engineer,1998-05-19,9999-01-01
16695,Chaosheng,Thiran,Staff,1998-09-22,9999-01-01
16698,Udaiprakash,Decleir,Engineer,1996-01-06,9999-01-01
16716,Ramachenga,Zumaque,Engineer,2000-02-02,9999-01-01
16759,Vojin,Masaki,Senior Engineer,1992-01-10,9999-01-01
16766,Vatsa,Brendel,Senior Engineer,1990-08-20,9999-01-01
16772,Baruch,Giveon,Senior Staff,1999-10-27,9999-01-01
16776,Gil,Azevdeo,Senior Staff,1991-12-05,9999-01-01
16806,Sreekrishna,Dayana,Senior Staff,1990-07-20,9999-01-01
16859,Chikara,Heping,Senior Staff,1999-02-28,9999-01-01
16896,Taisook,Bazzichi,Senior Engineer,1992-12-12,9999-01-01
16921,Evgueni,Yeung,Senior Staff,1988-01-21,9999-01-01
16933,Lokesh,Pardalos,Staff,1997-08-30,9999-01-01
16934,Collette,Sanella,Engineer,1995-06-22,9999-01-01
16979,Xiaoqiu,Preusig,Engineer,1996-01-04,9999-01-01
16986,Hirochika,Gecseg,Senior Engineer,1993-05-09,9999-01-01
16988,Xiong,Peron,Senior Staff,1990-12-29,9999-01-01
16999,Bezalel,Sadowsky,Senior Staff,2001-12-22,9999-01-01
17041,Nishit,Montemayor,Senior Staff,1993-01-18,9999-01-01
17063,Anoosh,Thiran,Senior Staff,1992-12-12,9999-01-01
17081,Weiru,Murtafg,Senior Engineer,1992-12-28,9999-01-01
17085,Ramzi,Litvinov,Senior Engineer,1993-09-11,9999-01-01
